name,code,date,open,low,high,price,volume,change,sentiment,target
NESTLE (M) BHD,4707,2019-03-25,145.1,143.6,145.5,144.7,99100.0,-0.010259918,0.0,sell
NESTLE (M) BHD,4707,2019-03-26,144.7,144.7,145.9,145.5,21900.0,0.00552868,0.0,buy
NESTLE (M) BHD,4707,2019-03-27,145.0,144.8,145.8,145.0,61500.0,-0.003436426,0.0,hold
NESTLE (M) BHD,4707,2019-03-28,145.0,144.9,147.8,146.4,31100.0,0.009655172,0.0,buy
NESTLE (M) BHD,4707,2019-03-29,147.7,145.6,148.7,146.8,119500.0,0.00273224,0.0,buy
NESTLE (M) BHD,4707,2019-04-01,147.0,143.7,147.0,145.0,38200.0,-0.01226158,0.0,sell
NESTLE (M) BHD,4707,2019-04-02,145.5,145.5,146.6,146.1,25400.0,0.0075862069999999985,0.0,buy
NESTLE (M) BHD,4707,2019-04-03,145.2,145.2,146.5,146.5,11100.0,0.002737851,0.0,buy
NESTLE (M) BHD,4707,2019-04-04,146.4,145.5,146.5,145.9,19800.0,-0.004095563,0.0,hold
NESTLE (M) BHD,4707,2019-04-05,145.9,144.8,145.9,145.5,3900.0,-0.0027416040000000003,0.0,hold
NESTLE (M) BHD,4707,2019-04-08,146.7,145.4,146.7,146.1,32200.0,0.004123711,0.0,buy
NESTLE (M) BHD,4707,2019-04-09,146.1,145.0,146.1,146.0,41300.0,-0.0006844630000000001,0.0,hold
NESTLE (M) BHD,4707,2019-04-10,146.4,145.8,146.8,146.8,68000.0,0.005479451999999999,0.0,buy
NESTLE (M) BHD,4707,2019-04-11,145.3,145.3,146.2,146.0,95100.0,-0.005449591,1.0,buy
NESTLE (M) BHD,4707,2019-04-12,146.4,146.0,146.4,146.4,22200.0,0.002739726,0.0,buy
NESTLE (M) BHD,4707,2019-04-15,147.0,146.3,147.0,146.4,30400.0,0.0,-1.0,sell
NESTLE (M) BHD,4707,2019-04-17,146.0,145.0,146.6,146.1,35300.0,-0.00204918,0.0,hold
NESTLE (M) BHD,4707,2019-04-18,146.8,146.0,146.8,146.4,73500.0,0.002053388,0.0,hold
NESTLE (M) BHD,4707,2019-04-19,146.0,146.0,146.6,146.6,47600.0,0.00136612,0.0,hold
NESTLE (M) BHD,4707,2019-04-22,147.5,145.5,147.5,146.0,8900.0,-0.004092769,0.0,hold
NESTLE (M) BHD,4707,2019-04-23,145.2,145.2,146.4,145.4,12600.0,-0.004109589,-1.0,sell
NESTLE (M) BHD,4707,2019-04-23,145.2,145.2,146.4,145.4,12600.0,-0.004109589,1.0,buy
