name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
JF TECHNOLOGY BHD,146,19-Apr-19,7:11 PM,0.905,0.9,0.905,0.9,196,0.900 / 18,0.910 / 410
JHM CONSOLIDATION BHD,127,19-Apr-19,7:11 PM,1.28,1.28,1.34,1.34,"78,928",1.340 / 512,"1.350 / 5,984"
JIANKUN INTERNATIONAL BERHAD,8923,19-Apr-19,7:11 PM,-,-,-,0.315,0,0.295 / 150,"0.310 / 1,050"
JIANKUN INTERNATIONAL BERHAD - WARRANTS A,8923WA,19-Apr-19,7:11 PM,-,-,-,0.065,0,0.040 / 800,0.080 / 900
JKG LAND BERHAD,6769,19-Apr-19,7:11 PM,0.085,0.08,0.085,0.08,400,0.080 / 109,"0.085 / 41,325"
JM EDUCATION GROUP BERHAD,3003,19-Apr-19,7:11 PM,-,-,-,0.535,0,0.000 / 0,0.000 / 0
JMR CONGLOMERATION BHD,7043,19-Apr-19,7:11 PM,1.07,1.07,1.07,1.07,100,0.995 / 50,1.070 / 2
JOHAN HOLDINGS BHD,3441,19-Apr-19,7:11 PM,0.1,0.095,0.1,0.095,"2,941","0.095 / 1,299","0.100 / 7,539"
JOHORE TIN BHD,7167,19-Apr-19,7:11 PM,1.44,1.44,1.5,1.49,"28,760",1.490 / 111,"1.500 / 3,394"
JAYA TIASA HOLDINGS BHD,4383,19-Apr-19,7:11 PM,0.595,0.595,0.61,0.595,"12,494","0.595 / 1,386",0.600 / 353
K-ONE TECHNOLOGY BHD,111,19-Apr-19,7:11 PM,0.245,0.235,0.25,0.24,"28,055","0.240 / 1,532","0.245 / 6,465"
K-ONE TECHNOLOGY BERHAD - WARRANTS 2018/2021,0111WC,19-Apr-19,7:11 PM,0.135,0.13,0.14,0.135,"13,121","0.130 / 6,893",0.135 / 500
KEJURUTERAAN ASASTERA BERHAD,193,19-Apr-19,7:11 PM,0.21,0.21,0.215,0.21,"1,280","0.205 / 4,109",0.210 / 68
KAMDAR GROUP(M)BHD,8672,19-Apr-19,7:11 PM,-,-,-,0.33,0,0.295 / 100,0.370 / 29
KANGER INTERNATIONAL BERHAD,170,19-Apr-19,7:11 PM,0.045,0.04,0.045,0.04,"8,595","0.035 / 59,292","0.045 / 73,234"
KANGER INTERNATIONAL BERHAD-WARRANTS A,0170WA,19-Apr-19,7:11 PM,-,-,-,0.02,0,"0.010 / 12,901",0.015 / 500
KAREX BERHAD,5247,19-Apr-19,7:11 PM,0.615,0.565,0.63,0.565,"199,434","0.565 / 3,188","0.570 / 1,280"
KARYON INDUSTRIES BHD,54,19-Apr-19,7:11 PM,0.135,0.135,0.135,0.135,100,"0.130 / 15,651","0.135 / 2,603"
